,Mini,Mass,label,Vmag,Imag
0,0.0900000036,0.09,1,17.006,12.978
1,0.0906588286,0.091,1,16.916,12.924
2,0.0997941643,0.1,1,15.758,12.108
3,0.1193824932,0.119,1,14.277,11.306
4,0.1389708221,0.139,1,13.425,10.802
5,0.1585591584,0.158,1,12.854,10.426
6,0.1977358013,0.197,1,12.073,9.864
7,0.2467066348,0.246,1,11.412,9.347
8,0.2956774831,0.295,1,10.913,8.94
9,0.3210775256,0.321,1,10.67,8.735
10,0.344648242,0.344,1,10.462,8.557
11,0.3936190903,0.393,1,9.991,8.176
12,0.4425899386,0.442,1,9.515,7.752
13,0.4915607274,0.491,1,8.842,7.304
14,0.5405316353,0.54,1,8.22,6.856
15,0.5895023346,0.589,1,7.578,6.405
16,0.6047478318,0.604,1,7.383,6.266
17,0.6384731531,0.638,1,6.981,5.971
18,0.6829307675,0.683,1,6.512,5.611
19,0.6874440908,0.687,1,6.469,5.577
20,0.7138230205,0.714,1,6.219,5.381
21,0.7368462086,0.737,1,6.015,5.219
22,0.7471119165,0.747,1,5.93,5.15
23,0.7759438753,0.775,1,5.696,4.959
24,0.7862482667,0.786,1,5.616,4.893
25,0.8068234921,0.806,1,5.457,4.76
26,0.834928751,0.834,1,5.248,4.583
27,0.8356503844,0.835,1,5.243,4.578
28,0.8600546122,0.859,1,5.065,4.425
29,0.8850524426,0.884,1,4.887,4.269
30,0.8932099938,0.892,1,4.828,4.218
31,0.9138852358,0.913,1,4.681,4.089
32,0.9325844049,0.932,1,4.549,3.972
33,0.9344545603,0.934,1,4.536,3.96
34,0.9500340223,0.949,1,4.425,3.863
35,0.9665641189,0.966,1,4.308,3.759
36,0.981330812,0.981,1,4.202,3.666
37,0.983856678,0.983,1,4.184,3.65
38,0.9911023378,0.991,1,4.133,3.605
39,1.0137212276,1.013,1,3.971,3.461
40,1.0332586765,1.032,1,3.829,3.335
41,1.0337756872,1.033,1,3.825,3.332
42,1.0516198874,1.051,1,3.696,3.218
43,1.0675897598,1.067,1,3.582,3.116
44,1.0826576948,1.081,1,3.473,3.018
45,1.0826609135,1.082,1,3.473,3.018
46,1.088264823,1.087,1,3.433,2.982
47,1.0994825363,1.098,1,3.352,2.908
48,1.1088641882,1.108,1,3.284,2.844
49,1.1167794466,1.116,1,3.227,2.791
50,1.1213731766,1.12,1,3.195,2.76
51,1.1242698431,1.123,1,3.165,2.733
52,1.1287007332,1.127,1,3.117,2.689
53,1.132062912,1.131,1,3.077,2.652
54,1.1340793371,1.133,1,3.06,2.636
55,1.1411349773,1.14,1,2.979,2.565
56,1.1495517492,1.148,2,2.901,2.488
57,1.164445281,1.163,2,2.765,2.345
58,1.1781771183,1.177,2,2.635,2.195
59,1.1814651489,1.18,2,2.603,2.157
60,1.1824388504,1.181,2,2.594,2.145
61,1.1917611361,1.191,2,2.514,2.023
62,1.1981631517,1.197,2,2.481,1.94
63,1.202391386,1.201,2,2.491,1.901
64,1.2052884102,1.204,2,2.523,1.89
65,1.2074024677,1.206,2,2.559,1.89
66,1.2090442181,1.208,2,2.6,1.901
67,1.2103974819,1.209,2,2.636,1.911
68,1.211581111,1.211,2,2.654,1.909
69,1.2126845121,1.212,2,2.658,1.896
70,1.2137614489,1.213,2,2.66,1.882
71,1.215272069,1.214,2,2.652,1.854
72,1.2162884474,1.215,2,2.634,1.824
73,1.2172297239,1.216,2,2.594,1.778
74,1.219327569,1.218,3,2.495,1.667
