,V,E_V,I,E_I,V-I,PROB_VI,neighbor_dist
0,16.683517,0.012838452,15.269245,0.019141978,1.4142723,0.9867097,0.4517140314052253
1,16.94089,0.012807066,15.561047,0.019161925,1.3798428,0.9126313,0.3115010806909451
2,17.00087,0.012725842,15.650624,0.019084277,1.3502455,0.96962625,0.38956671662061354
3,17.237057,0.012562774,15.967226,0.018982118,1.2698307,0.9304007,0.46502691361657233
4,17.287333,0.012709948,15.989537,0.019171594,1.2977953,0.9342411,0.38956671662061354
5,18.40786,0.011549262,17.344511,0.019299857,1.0633488,0.95839053,0.18828068619736113
6,18.425657,0.011260533,17.374998,0.018358491,1.0506592,0.90180206,0.2356389413233886
7,18.512413,0.011997103,17.41767,0.020266114,1.0947437,0.9963265,0.07063818571943939
8,18.5309,0.011723067,17.436363,0.019052453,1.0945358,0.9543631,0.052339256097826636
9,18.580166,0.01176485,17.488834,0.019198691,1.0913315,0.95714325,0.07063818571943939
10,18.706383,0.011966277,17.64167,0.01824948,1.0647125,0.9873709,0.09526545146048639
11,18.65993,0.011459813,17.594284,0.017444815,1.0656452,0.910614,0.13722354918720583
12,18.779585,0.011928517,17.726944,0.018186923,1.0526409,0.94583,0.05800141669445298
13,18.773941,0.011614905,17.7879,0.017911257,0.9860401,0.98540354,0.27959830899079546
14,18.804108,0.011460791,17.762035,0.017482579,1.0420723,0.9305811,0.05800141669445298
15,19.020956,0.011843453,18.101751,0.018264135,0.9192047,0.96032345,0.05676629433354766
16,18.829796,0.011986533,17.782352,0.018264096,1.0474434,0.9619327,0.0569897891805278
17,18.908363,0.01171945,17.999346,0.018063335,0.90901756,0.89447284,0.11785289067001284
18,18.892344,0.012113449,17.845144,0.01845263,1.0471992,0.96146476,0.06332219812367372
19,18.903744,0.011583352,17.865427,0.017682537,1.0383167,0.9477103,0.08747467246701211
20,18.987587,0.011982002,18.054468,0.018468237,0.9331188,0.9386131,0.055384108795009046
21,19.004282,0.01189592,18.081797,0.018449849,0.92248535,0.98214287,0.055384108795009046
22,19.09122,0.012393862,18.196009,0.019201286,0.8952122,0.9577161,0.03307063570544824
23,19.07394,0.011940921,18.158485,0.018429857,0.91545486,0.9318512,0.05676629433354766
24,18.8981,0.012322116,17.892773,0.018892698,1.0053272,0.9586193,0.15794403430858728
25,19.053864,0.0118660005,18.06174,0.018237205,0.99212265,0.98317397,0.1707299552564377
26,19.080608,0.011268004,18.186546,0.017426178,0.89406204,0.89442736,0.02098605645836215
27,19.124176,0.01184141,18.23076,0.018849915,0.89341545,0.9684481,0.039032338256836656
28,18.927908,0.0114678545,18.000313,0.017647864,0.92759514,0.9598204,0.08135717212950952
